epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5768,1.62928,2.3893,1.47149,0.78482,0.75594,0.82077,0.48637,1.43341,0.90574,1.37848,0.000110699,0.000110699,0.000110699
2,29.7084,1.35057,1.11854,1.29678,0.95085,0.87214,0.94275,0.6083,1.23999,0.66965,1.28621,0.000210725,0.000210725,0.000210725
3,43.5294,1.316,0.95859,1.28554,0.92935,0.90652,0.96047,0.62664,1.23327,0.62738,1.27741,0.000299762,0.000299762,0.000299762
4,57.1818,1.28281,0.8872,1.27535,0.96635,0.9487,0.97731,0.63409,1.20457,0.56023,1.2847,0.00028355,0.00028355,0.00028355
5,70.8095,1.23908,0.82802,1.25652,0.94599,0.95127,0.97457,0.64682,1.16561,0.54448,1.27303,0.000267066,0.000267066,0.000267066
6,84.4031,1.22462,0.78735,1.25188,0.93128,0.96199,0.97179,0.66547,1.12811,0.51263,1.25986,0.000250583,0.000250583,0.000250583
7,98.1032,1.21231,0.76431,1.25265,0.96428,0.9719,0.98672,0.66215,1.1485,0.49736,1.24067,0.000234099,0.000234099,0.000234099
8,111.694,1.1869,0.73428,1.23831,0.95986,0.96994,0.98171,0.67321,1.10552,0.49051,1.23756,0.000217616,0.000217616,0.000217616
9,125.419,1.16283,0.70433,1.23223,0.96463,0.96596,0.9816,0.67572,1.10734,0.47087,1.27202,0.000201132,0.000201132,0.000201132
10,139.151,1.15685,0.69681,1.23492,0.9607,0.96938,0.98389,0.67168,1.1198,0.47054,1.26993,0.000184649,0.000184649,0.000184649
11,155.751,1.11881,0.5062,1.24782,0.95976,0.96635,0.984,0.67237,1.12776,0.4748,1.28768,0.000168165,0.000168165,0.000168165
12,169.301,1.09609,0.48211,1.2351,0.96733,0.97215,0.9862,0.69312,1.10165,0.45536,1.24063,0.000151682,0.000151682,0.000151682
13,182.882,1.08517,0.46686,1.23424,0.9499,0.96541,0.98035,0.69441,1.06634,0.44217,1.24389,0.000135198,0.000135198,0.000135198
14,196.409,1.06779,0.45462,1.21948,0.96727,0.97567,0.98369,0.70239,1.07127,0.43259,1.23164,0.000118714,0.000118714,0.000118714
15,209.942,1.04997,0.44323,1.2203,0.96422,0.97357,0.9872,0.71205,1.0472,0.4196,1.23643,0.000102231,0.000102231,0.000102231
16,223.484,1.03591,0.4321,1.21262,0.96456,0.97878,0.98699,0.71097,1.0439,0.40962,1.21822,8.57475e-05,8.57475e-05,8.57475e-05
17,237.067,1.02049,0.42309,1.20436,0.96226,0.98135,0.98604,0.71385,1.04408,0.41075,1.24214,6.9264e-05,6.9264e-05,6.9264e-05
18,250.623,1.00821,0.4108,1.19812,0.973,0.98093,0.98909,0.7246,1.0417,0.4,1.23212,5.27805e-05,5.27805e-05,5.27805e-05
19,264.177,0.992,0.40441,1.18944,0.97562,0.98029,0.98873,0.72434,1.03005,0.39588,1.21956,3.6297e-05,3.6297e-05,3.6297e-05
20,277.658,0.97653,0.394,1.18189,0.97292,0.97983,0.98765,0.73393,1.00653,0.38671,1.21824,1.98135e-05,1.98135e-05,1.98135e-05
