epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6571,1.63407,2.39728,1.48514,0.81551,0.77789,0.85258,0.54623,1.29219,0.84326,1.33548,0.000110699,0.000110699,0.000110699
2,29.7646,1.36569,1.14693,1.30767,0.89913,0.90283,0.95024,0.62175,1.2514,0.69287,1.2859,0.000210725,0.000210725,0.000210725
3,43.6069,1.31702,0.96847,1.28198,0.95012,0.93534,0.961,0.60611,1.28001,0.63299,1.31842,0.000299762,0.000299762,0.000299762
4,57.2255,1.2934,0.88048,1.27914,0.94181,0.94164,0.96369,0.66316,1.15606,0.56144,1.27795,0.00028355,0.00028355,0.00028355
5,70.8997,1.25031,0.84003,1.26287,0.94208,0.93751,0.97688,0.67119,1.15002,0.53438,1.27928,0.000267066,0.000267066,0.000267066
6,84.6034,1.23128,0.79309,1.25251,0.96028,0.95963,0.97738,0.68342,1.12106,0.51034,1.28411,0.000250583,0.000250583,0.000250583
7,98.2713,1.21399,0.76821,1.25156,0.97002,0.96755,0.97962,0.67549,1.14524,0.49944,1.2501,0.000234099,0.000234099,0.000234099
8,111.925,1.19329,0.72879,1.23891,0.96496,0.96646,0.9781,0.68458,1.10321,0.47916,1.25189,0.000217616,0.000217616,0.000217616
9,125.494,1.17078,0.70613,1.23317,0.96364,0.96727,0.97805,0.69483,1.08476,0.46036,1.26975,0.000201132,0.000201132,0.000201132
10,139.226,1.15923,0.69287,1.22862,0.95156,0.96498,0.97905,0.67896,1.12407,0.47199,1.2349,0.000184649,0.000184649,0.000184649
11,155.882,1.13087,0.5121,1.25457,0.97788,0.97036,0.98086,0.69963,1.08336,0.45545,1.25277,0.000168165,0.000168165,0.000168165
12,169.537,1.11114,0.48715,1.24693,0.97567,0.97697,0.98243,0.7081,1.06432,0.43619,1.25526,0.000151682,0.000151682,0.000151682
13,183.076,1.09409,0.47394,1.23775,0.96941,0.97396,0.98011,0.70938,1.06018,0.43472,1.26546,0.000135198,0.000135198,0.000135198
14,196.739,1.07703,0.46045,1.23074,0.96864,0.97307,0.98069,0.70326,1.08448,0.43185,1.29027,0.000118714,0.000118714,0.000118714
15,210.325,1.06165,0.44505,1.22483,0.97992,0.9767,0.98368,0.71702,1.03547,0.41309,1.24165,0.000102231,0.000102231,0.000102231
16,224.065,1.04188,0.43444,1.21347,0.97524,0.97331,0.98068,0.71723,1.02945,0.40656,1.24078,8.57475e-05,8.57475e-05,8.57475e-05
17,237.637,1.03033,0.42565,1.20099,0.98094,0.97928,0.9842,0.72559,1.02669,0.39305,1.22643,6.9264e-05,6.9264e-05,6.9264e-05
18,251.253,1.00928,0.41428,1.19558,0.98276,0.98015,0.98429,0.73161,1.02164,0.38991,1.21506,5.27805e-05,5.27805e-05,5.27805e-05
19,264.819,0.99571,0.40455,1.19147,0.98375,0.97619,0.98314,0.7347,1.00546,0.37868,1.22778,3.6297e-05,3.6297e-05,3.6297e-05
20,278.405,0.98509,0.39708,1.18175,0.98201,0.97957,0.98545,0.74065,0.996,0.37414,1.22059,1.98135e-05,1.98135e-05,1.98135e-05
