epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4483,1.62905,2.38056,1.4753,0.82212,0.82589,0.8765,0.55998,1.28666,0.82117,1.33272,0.000110699,0.000110699,0.000110699
2,29.364,1.37258,1.13889,1.31429,0.91381,0.90799,0.96153,0.62778,1.22989,0.66809,1.34427,0.000210725,0.000210725,0.000210725
3,43.114,1.3116,0.96238,1.28527,0.96156,0.93959,0.97614,0.64769,1.17741,0.5996,1.26092,0.000299762,0.000299762,0.000299762
4,56.7353,1.28786,0.89001,1.28369,0.951,0.95333,0.97167,0.65789,1.18413,0.56721,1.30581,0.00028355,0.00028355,0.00028355
5,70.2446,1.25527,0.83956,1.27162,0.9594,0.94318,0.97459,0.66833,1.13497,0.5289,1.27272,0.000267066,0.000267066,0.000267066
6,83.7587,1.2268,0.78679,1.25685,0.96285,0.95959,0.97629,0.67638,1.11916,0.51445,1.27295,0.000250583,0.000250583,0.000250583
7,97.3597,1.21033,0.75834,1.25552,0.95972,0.95787,0.97507,0.6809,1.10902,0.49114,1.28777,0.000234099,0.000234099,0.000234099
8,110.95,1.1849,0.72849,1.23442,0.96965,0.96876,0.98164,0.68197,1.11373,0.48638,1.27106,0.000217616,0.000217616,0.000217616
9,124.483,1.17345,0.70809,1.23811,0.96965,0.96318,0.98235,0.6862,1.11214,0.4697,1.24397,0.000201132,0.000201132,0.000201132
10,138.04,1.15941,0.69464,1.23291,0.96421,0.97427,0.98404,0.69702,1.07817,0.45604,1.24668,0.000184649,0.000184649,0.000184649
11,154.509,1.13524,0.50596,1.2524,0.98033,0.97239,0.98245,0.69296,1.07766,0.45227,1.24475,0.000168165,0.000168165,0.000168165
12,168.044,1.10811,0.48912,1.24612,0.96804,0.96894,0.97897,0.70618,1.05745,0.44364,1.23646,0.000151682,0.000151682,0.000151682
13,181.703,1.0923,0.47007,1.2376,0.97526,0.97161,0.9813,0.70997,1.04224,0.42707,1.23326,0.000135198,0.000135198,0.000135198
14,195.269,1.07801,0.45886,1.2358,0.97743,0.98152,0.98575,0.71712,1.0345,0.42191,1.2208,0.000118714,0.000118714,0.000118714
15,208.661,1.05782,0.44802,1.2231,0.97632,0.97255,0.98431,0.72099,1.03145,0.41188,1.25245,0.000102231,0.000102231,0.000102231
16,222.102,1.04677,0.43633,1.22203,0.9795,0.97056,0.98474,0.72711,1.02289,0.40385,1.23085,8.57475e-05,8.57475e-05,8.57475e-05
17,235.625,1.02991,0.42511,1.20833,0.97925,0.97827,0.9852,0.73006,1.00135,0.39131,1.22357,6.9264e-05,6.9264e-05,6.9264e-05
18,249.103,1.01395,0.41483,1.201,0.97532,0.98325,0.98539,0.72785,1.02292,0.3904,1.21113,5.27805e-05,5.27805e-05,5.27805e-05
19,262.556,1.00443,0.40839,1.19974,0.97853,0.98117,0.98653,0.7386,0.99178,0.38025,1.2231,3.6297e-05,3.6297e-05,3.6297e-05
20,276.02,0.98868,0.40023,1.19037,0.97494,0.98092,0.98517,0.73992,0.99314,0.37916,1.21634,1.98135e-05,1.98135e-05,1.98135e-05
