epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5468,1.60891,2.36848,1.46812,0.87122,0.73527,0.85649,0.53847,1.31588,0.84373,1.32191,0.000110699,0.000110699,0.000110699
2,29.6832,1.35357,1.11797,1.30455,0.93181,0.92048,0.95507,0.63697,1.19654,0.65221,1.27615,0.000210725,0.000210725,0.000210725
3,43.5798,1.32128,0.96211,1.28323,0.93957,0.9149,0.95836,0.63217,1.22539,0.61006,1.25676,0.000299762,0.000299762,0.000299762
4,57.1858,1.29445,0.8985,1.28072,0.92222,0.91977,0.957,0.64485,1.17541,0.58846,1.26938,0.00028355,0.00028355,0.00028355
5,70.7741,1.24742,0.83294,1.26834,0.9752,0.94553,0.97406,0.65713,1.16747,0.5434,1.24955,0.000267066,0.000267066,0.000267066
6,84.5146,1.2258,0.78732,1.25312,0.96308,0.94497,0.97421,0.67337,1.14204,0.52245,1.22901,0.000250583,0.000250583,0.000250583
7,98.1431,1.21603,0.76613,1.2462,0.95628,0.951,0.97181,0.66918,1.13129,0.50489,1.22666,0.000234099,0.000234099,0.000234099
8,111.714,1.18306,0.7277,1.23262,0.96195,0.95412,0.97814,0.68633,1.09604,0.47991,1.22162,0.000217616,0.000217616,0.000217616
9,125.302,1.17189,0.70834,1.22881,0.97275,0.95626,0.98218,0.68526,1.10652,0.4707,1.22074,0.000201132,0.000201132,0.000201132
10,138.923,1.15701,0.6907,1.22731,0.97432,0.96812,0.97956,0.68979,1.08936,0.46651,1.23201,0.000184649,0.000184649,0.000184649
11,155.638,1.13297,0.51469,1.25251,0.96733,0.97209,0.98138,0.6858,1.10657,0.46142,1.23742,0.000168165,0.000168165,0.000168165
12,169.188,1.11675,0.49073,1.23919,0.97761,0.96506,0.98161,0.69516,1.07704,0.44871,1.22319,0.000151682,0.000151682,0.000151682
13,182.824,1.08645,0.47054,1.23698,0.978,0.96975,0.98217,0.70525,1.06291,0.43786,1.20571,0.000135198,0.000135198,0.000135198
14,196.435,1.07281,0.46414,1.22336,0.97336,0.96488,0.98071,0.70922,1.04618,0.43264,1.19356,0.000118714,0.000118714,0.000118714
15,210.036,1.05937,0.44599,1.2151,0.97922,0.97023,0.98315,0.70776,1.06094,0.42023,1.22944,0.000102231,0.000102231,0.000102231
16,223.647,1.03833,0.4352,1.21346,0.97497,0.96938,0.98276,0.71542,1.04191,0.41142,1.21063,8.57475e-05,8.57475e-05,8.57475e-05
17,237.283,1.03031,0.42607,1.20058,0.9746,0.9665,0.98317,0.718,1.03329,0.40411,1.20078,6.9264e-05,6.9264e-05,6.9264e-05
18,250.913,1.00907,0.41505,1.19498,0.98522,0.96794,0.98506,0.72484,1.01556,0.39228,1.2045,5.27805e-05,5.27805e-05,5.27805e-05
19,264.503,0.99348,0.4061,1.19014,0.97507,0.97607,0.98367,0.72923,1.00366,0.38524,1.19926,3.6297e-05,3.6297e-05,3.6297e-05
20,278.037,0.98302,0.39866,1.1866,0.97496,0.97494,0.98378,0.73145,1.00178,0.3818,1.19172,1.98135e-05,1.98135e-05,1.98135e-05
